product_id,product_category,Height,width,material,color,product_image,product_brand,product_price,product_offer,product_rate,seller_id,product_name,product_description,depth
99286838,Bookcases & shelving units,220,210,,,,,1719,,,,BESTÅ / EKET,"        Cabinet combination for TV,          210x40x220 cm",40
20417205,Bookcases & shelving units,18,55,,,,,35,,,,STUK,"        Storage case,          55x51x18 cm",51
60419962,Bookcases & shelving units,15,25,,,,,15,,,,JONAXEL,"        Wire basket,          25x51x15 cm",51
20409936,Bookcases & shelving units,147,112,,,,,395,,,,KALLAX,"        Shelving unit,          112x147 cm",39
90301225,Bookcases & shelving units,190,60,,,,,445,,,,BRIMNES,"        Bookcase,          60x190 cm",35
60364295,Bookcases & shelving units,94,92,,,,,145,,,,OLAUS,"        Shelving unit,          92x36x94 cm",36
9017826,Bookcases & shelving units,106,240,,,,,345,,,,BILLY,"        Bookcase,          240x28x106 cm",28
69251345,Bookcases & shelving units,179,89,,,,,420,,,,IVAR,"        Shelving unit,          89x50x179 cm",50
79306875,Bookcases & shelving units,72,70,,,,,250,,,,EKET,"        Cabinet combination with feet,          70x35x72 cm",35
30409295,Bookcases & shelving units,81,80,,,,,345,,,,KOLBJÖRN,"        Cabinet in/outdoor,          80x81 cm",35
60295706,Bookcases & shelving units,27,160,,,,,417,,,,MOSTORP,"        Wall shelf,          160x27 cm",27
80385616,Bookcases & shelving units,202,80,,,,,516,,,,BILLY,"        Bookcase with glass-doors,          80x30x202 cm",30
69281776,Bookcases & shelving units,202,80,,,,,585,,,,BILLY,"        Bookcase with panel/glass doors,          80x30x202 cm",30
70339291,Bookcases & shelving units,136,100,,,,,495,,,,FJÄLLBO,"        Shelving unit,          100x136 cm",36
20345633,Bookcases & shelving units,161,90,,,,,695,,,,KOLBJÖRN,"        Cabinet in/outdoor,          90x161 cm",35
89248205,Bookcases & shelving units,124,89,,,,,440,,,,IVAR,"        Cabinet with doors,          89x30x124 cm",30
99294560,Bookcases & shelving units,175,202,,,,,695,,,,VITTSJÖ,"        TV storage combination,          202x36x175 cm",36
29276531,Bookcases & shelving units,199,132,,,,,509,,,,ALGOT,"        Wall upright/shelves/drying rack,          132x41x199 cm",41
79017837,Bookcases & shelving units,202,160,,,,,370,,,,BILLY,"        Bookcase,          160x28x202 cm",28
79305098,Bookcases & shelving units,70,50,,,,,180,,,,JONAXEL,"        Frame/wire baskets/top shelf,          50x51x70 cm",51
79278250,Bookcases & shelving units,112,147,,,,,595,,,,KALLAX,"        Shelving unit with 4 inserts,          147x112 cm",39
39903791,Bookcases & shelving units,85,86,,,,,196,,,,ALGOT,"        Wall upright/shelves,          86x41x85 cm",41
89286382,Bookcases & shelving units,70,175,,,,,640,,,,EKET,"        Wall-mounted cabinet combination,          175x25x70 cm",25
10275862,Bookcases & shelving units,147,147,,,,,495,,,,KALLAX,"        Shelving unit,          147x147 cm",39
69190861,Bookcases & shelving units,107,105,,,,,435,,,,EKET,"        Cabinet combination with feet,          105x35x107 cm",35
9189484,Bookcases & shelving units,70,105,,,,,978,,,,EKET,"        Wall-mounted cabinet combination,          105x35x70 cm",35
10218517,Bookcases & shelving units,14,38,,,,,18,,,,ALGOT,"        Mesh basket,          38x60x14 cm",60
9279050,Bookcases & shelving units,181,197,,,,,772,,,,OLAUS,"        2 shelf sections,          197x36x181 cm",36
79278269,Bookcases & shelving units,77,77,,,,,215,,,,KALLAX,"        Shelving unit with doors,          77x77 cm",39
99277122,Bookcases & shelving units,106,40,,,,,140,,,,BILLY / BOTTNA,"        Bookcase with display shelf,          40x28x106 cm",28
19046442,Bookcases & shelving units,214,276,,,,,4335,,,,LIATORP,"        Storage combination with doors,          276x214 cm",38
69285939,Bookcases & shelving units,74,60,,,,,51,,,,HYLLIS,"        Shelving unit with cover,          60x27x74 cm",27
59902658,Bookcases & shelving units,175,151,,,,,620,,,,VITTSJÖ,"        Storage combination,          151x36x175 cm",36
29286417,Bookcases & shelving units,80,35,,,,,265,,,,EKET,"        Cabinet combination with legs,          35x35x80 cm",35
40450350,Bookcases & shelving units,81,80,,,,,225,,,,KOLBJÖRN,"        Shelving unit in/outdoor,          80x81 cm",35
39285827,Bookcases & shelving units,35,35,,,,,80,,,,EKET,"        Wall-mounted shelving unit,          35x25x35 cm",25
89248314,Bookcases & shelving units,179,89,,,,,275,,,,IVAR,"        1 section/shelves,          89x30x179 cm",30
334536,Bookcases & shelving units,70,70,,,,,235,,,,EKET,"        Cabinet with 4 compartments,          70x35x70 cm",35
49189199,Bookcases & shelving units,72,70,,,,,347,,,,EKET,"        Cabinet combination with feet,          70x25x72 cm",25
9294526,Bookcases & shelving units,93,200,,,,,490,,,,VITTSJÖ,"        Storage combination,          200x36x93 cm",36
59206004,Bookcases & shelving units,74,180,,,,,1235,,,,BESTÅ,"        Storage combination with doors,          180x40x74 cm",40
99017445,Bookcases & shelving units,147,77,,,,,350,,,,KALLAX,"        Shelving unit with doors,          77x147 cm",39
40309573,Bookcases & shelving units,18,55,,,,,35,,,,STUK,"        Storage case,          55x51x18 cm",51
49046978,Bookcases & shelving units,171,307,,,,,705,,,,HEJNE,"        4 sections/shelves,          307x50x171 cm",50
10429992,Bookcases & shelving units,70,25,,,,,55,,,,JONAXEL,"        Frame,          25x51x70 cm",51
29299165,Bookcases & shelving units,38,180,,,,,925,,,,BESTÅ,"        TV bench with doors,          180x42x38 cm",42
116595,Bookcases & shelving units,214,96,,,,,995,,,,LIATORP,"        Bookcase,          96x214 cm",37
99300839,Bookcases & shelving units,192,120,,,,,1620,,,,BESTÅ,"        Storage combination w glass doors,          120x42x192 cm",42
50343147,Bookcases & shelving units,7,3,,,,,15,,,,BROR,"        Hook for post,          7x5x3 cm 2 pack",5
59182201,Bookcases & shelving units,237,80,,,,,285,,,,BILLY,"        Bookcase,          80x28x237 cm",28
79301788,Bookcases & shelving units,240,120,,,,,1820,,,,BESTÅ,"        Storage combination w doors/drawers,          120x42x240 cm",42
9287413,Bookcases & shelving units,202,40,,,,,470,,,,BILLY / OXBERG,"        Bookcase with panel/glass door,          40x30x202 cm",30
29287389,Bookcases & shelving units,106,40,,,,,290,,,,BILLY / OXBERG,"        Bookcase with door,          40x30x106 cm",30
49248311,Bookcases & shelving units,179,89,,,,,310,,,,IVAR,"        Shelving unit,          89x30x179 cm",30
49227605,Bookcases & shelving units,158,170,,,,,412,,,,ENETRI,"        Shelving unit,          170x158 cm",33
89302971,Bookcases & shelving units,230,240,,,,,2470,,,,BESTÅ,"        TV storage combination,          240x42x230 cm",42
19306185,Bookcases & shelving units,73,25,,,,,160,,,,JONAXEL,"        Frame with mesh baskets/castors,          25x51x73 cm",51
69208026,Bookcases & shelving units,112,180,,,,,1725,,,,BESTÅ,"        Storage combination with doors,          180x42x112 cm",42
89017832,Bookcases & shelving units,202,160,,,,,1150,,,,BILLY / OXBERG,"        Bookcase,          160x30x202 cm",30
80349001,Bookcases & shelving units,10,34,,,,,45,,,,EKET,"        Underframe,          35x35x10 cm",34
69303504,Bookcases & shelving units,124,89,,,,,625,,,,IVAR,"        Shelving unit w cabinets/drawers,          89x30x124 cm",30
89287433,Bookcases & shelving units,237,40,,,,,505,,,,BILLY / OXBERG,"        Bookcase w hght ext ut/pnl/glss drs,          40x30x237 cm",30
9384051,Bookcases & shelving units,197,270,,,,,3986,,,,HEMNES,"        Storage combination w doors/drawers,          270x197 cm",37
89017827,Bookcases & shelving units,237,200,,,,,795,,,,BILLY,"        Bookcase,          200x28x237 cm",28
69325902,Bookcases & shelving units,179,48,,,,,335,,,,IVAR,"        1 section/shelves/drawers,          48x30x179 cm",30
70245952,Bookcases & shelving units,38,120,,,,,170,,,,BESTÅ,"        Frame,          120x40x38 cm",40
89317557,Bookcases & shelving units,161,80,,,,,570,,,,KOLBJÖRN,"        Shelving unit with cabinet,          80x37x161 cm",37
39311765,Bookcases & shelving units,197,176,,,,,529,,,,ALGOT,"        Wall upright/shelves,          176x41x197 cm",41
20333951,Bookcases & shelving units,70,70,,,,,236,,,,EKET,"        Cabinet w 2 doors and 1 shelf,          70x35x70 cm",35
20419964,Bookcases & shelving units,15,50,,,,,25,,,,JONAXEL,"        Mesh basket,          50x51x15 cm",51
9184448,Bookcases & shelving units,176,86,,,,,620,,,,SVALNÄS,"        Wall-mounted workspace combination,          86x35x176 cm",35
99020476,Bookcases & shelving units,202,200,,,,,940,,,,BILLY / GNEDBY,"        Bookcase,          200x28x202 cm",28
69020473,Bookcases & shelving units,237,200,,,,,2295,,,,BILLY / OXBERG,"        Bookcase,          200x30x237 cm",30
90344927,Bookcases & shelving units,35,35,,,,,99,,,,EKET,"        Cabinet with door,          35x35x35 cm",35
89276463,Bookcases & shelving units,190,65,,,,,445,,,,BROR,"        Shelving unit,          65x40x190 cm",40
89309722,Bookcases & shelving units,124,89,,,,,235,,,,IVAR,"        Shelving unit,          89x30x124 cm",30
20278167,Bookcases & shelving units,33,33,,,,,50,,,,KALLAX,"        Insert with door,          33x33 cm",37
59248377,Bookcases & shelving units,226,259,,,,,795,,,,IVAR,"        3 sections/shelves,          259x30x226 cm",30
69284987,Bookcases & shelving units,202,60,,,,,420,,,,BESTÅ,"        Cabinet unit,          60x40x202 cm",40
9306204,Bookcases & shelving units,173,148,,,,,585,,,,JONAXEL,"        Frames/clothes rails/shelving units,          148x51x173 cm",51
60245957,Bookcases & shelving units,38,60,,,,,100,,,,BESTÅ,"        Frame,          60x20x38 cm",20
29286460,Bookcases & shelving units,72,280,,,,,1002,,,,EKET,"        Cabinet combination with feet,          280x35x72 cm",35
80373703,Bookcases & shelving units,35,35,,,,,65,,,,EKET,"        Cabinet,          35x25x35 cm",25
70286645,Bookcases & shelving units,33,33,,,,,75,,,,KALLAX,"        Insert with 2 drawers,          33x33 cm",37
9297488,Bookcases & shelving units,104,50,,,,,230,,,,JONAXEL,"        Frame with mesh baskets,          50x51x104 cm",51
29281783,Bookcases & shelving units,202,120,,,,,1255,,,,BILLY / OXBERG,"        Bookcase with panel/glass doors,          120x30x202 cm",30
59197981,Bookcases & shelving units,48,120,,,,,770,,,,BESTÅ,"        TV bench with drawers,          120x42x48 cm",42
49061228,Bookcases & shelving units,48,120,,,,,510,,,,BESTÅ,"        TV bench,          120x40x48 cm",40
19291650,Bookcases & shelving units,161,171,,,,,1265,,,,KOLBJÖRN,"        Shelving unit with 2 cabinets,          171x37x161 cm",37
90419965,Bookcases & shelving units,15,25,,,,,20,,,,JONAXEL,"        Mesh basket,          25x51x15 cm",51
59282998,Bookcases & shelving units,190,85,,,,,580,,,,BROR,"        Shelving unit,          85x55x190 cm",55
70344933,Bookcases & shelving units,70,70,,,,,625,,,,EKET,"        Cabinet with 3 drawers,          70x35x70 cm",35
29205534,Bookcases & shelving units,192,120,,,,,1081,,,,BESTÅ,"        Storage combination with doors,          120x40x192 cm",40
90294989,Bookcases & shelving units,19,69,,,,,49,,,,SKUBB,"        Storage case,          69x55x19 cm",55
19291645,Bookcases & shelving units,161,80,,,,,570,,,,KOLBJÖRN,"        Shelving unit with cabinet,          80x37x161 cm",37
89297130,Bookcases & shelving units,70,25,,,,,115,,,,JONAXEL,"        Frame with wire baskets,          25x51x70 cm",51
450352,Bookcases & shelving units,83,80,,,,,345,,,,IVAR,"        Cabinet with doors,          80x83 cm",30
49297491,Bookcases & shelving units,73,50,,,,,195,,,,JONAXEL,"        Frame with mesh baskets/castors,          50x51x73 cm",51
